id,question,A,B,C,D,answerKey,choice_type,exp,subject_name,topic_name
406b5b4f-9ad4-42c0-9669-12d038df4ac8,Highest concentration of oxygen is delivered through?,Nasal cannula,Venturi mask,Bag and mask,Mask with reservoir,C,single,Bag and mask-100% O2 Venturi mask- 60% O2 Nasal cannula - 40% O2 Mask with reservoir- 80-90% O2,Anaesthesia,AIIMS 2017
ce4876e4-6a17-465e-a1c4-6353dad02e85,A 12 years old boy came with complaints of 4 hypopigmented patches on back and on left arm. The patches had loss of sensation. Which of the following is the treatment for this case?,Rifampicin (450 mg) + Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg daily,Rifampicin (600 mg) + Dapsone (150 mg) only,Rifampicin (450 mg) + Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg alternate days,Rifampicin (600 mg) + Dapsone (150 mg) + Clofazimine (300 mg) monthly and 50 mg daily,C,single,"Answer- C. Rifampicin (450 mg) + Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg alternate daysThe clinical history fits the patient into multibacillary leprosy and requires extensive multidrug therapy for 12 months.Since the patient is aged 12 years, doses are Rifompicin (450 mg) * Dapsone (50 mg) + Clofazimine (150 mg) monthly and 50 mg alternate days.",Skin,
dbd24ee5-8032-4316-9330-fe831f819c40,"If multiple myeloma is suspected in a patient's history and intraoral radiograph, which of the following radiographs should be taken to confirm the diagnosis?",Lateral skull,Anterior posterior view,Lateral oblique,Posterior anterior view,A,single,,Radiology,
2767698c-2189-4770-a4fd-825b7b7edf9c,Function of Merkel's cells is:,Tactile sensation,Melanophage,Chemoreceptor,Proprioception,A,single,,Physiology,
0f49668c-7988-48a6-ba11-ad49aa561259,"A man presents it n rashes on face and also complains of decreased mental function. He is also having few macular lesions on his skin. On CT scan, intracranial calcification was seen. His wife is normal. His 10-year old daughter is also normal but his 6-year old son is also having similar skin lesions. What would be the most likely diagnosis?",Neurofibrornatosis-1,Neurofibromatosis-2,Xeroderma pigmentosum,Autosomal dominant inheritance,D,single,"Answer- D. Autosomal dominant inheritanceClinical findings like rashes on face, decreased mental function with macular lesions on the skin and intracranial calcification on CT scan is highly suggestive of tuberous sclerosis, which has an autosomal dominant condition.",Skin,
1d405e6b-5cd9-4ff7-ba6d-f7f748ad6050,Low apparent volume of distribution of drug indicates that:,Drug has low half life,Drug has low bioavailability,Drug has low efficacy,Drug is not extensively distributed to tissue,D,single,"Vd means ""the plasma volume that would accommodate all the drug in the body, if the concentration throughout was same as in plasma"". Drugs with high volume of distribution are more distributed in body and vice-versa. Low volume of distribution tells that most of the drug is retained in plasma.",Pharmacology,AIIMS 2018
883b1e5a-141b-4b1c-bdd2-3126554f9624,All are true about aneuploidy except:,30% of trisomy 21 fetus die in utero,80% of trisomy 18 fetus die in uero,Occurrence of aneuploidy has no relation with the progression of mother's age,The recurrence risk for nondysjunctional aneuploidy is 1% higher,C,multi,"Aneuploidy

Each human cell consists of 23 pair of chromosomes i.e., the normal chromosome number is 46
Aneuploidy is a deviation from the normal number of 46 chromosome. Which could be be 47 or 45 chromosomes or it can be defined as state of having chromosome number that is not multiple of 23.

Nondisjunction

Nondisjunction is failure of paired homologus chromosomes to separate during the first meiotic division that leads to the production of gametes (ova and spermatozoa).
Thus, some gametes receive two and other receive none of the involved pair. After the second meiotic division the resulting gametes will have 24 and 22 chromosomes respectively. Such gametes are aneuploid.

Anaphase lag

In anaphase lag, one homologus chromosome in meiosis or one chromatid in mitosis lags behind and is left out of the cell nucleus. This results in one normal cell and one cell with monosomy.

Survival of Aneuploidy

Monosomy or trisomy involving the sex chromosome are compatible with life and are usually associated with variable degree of phenotypic abnormalities.
Monosomy involving an autosome generally represents loss of too much genetic information to permit live births or  even embryogenesis.
With the exception of trisomy 21 all others will produce severely handicapped infants who almost invariably die at an early age.

Estimated abortion rate in early pregnancy",Gynaecology & Obstetrics,
6dfdea6c-4c96-49dc-8b65-a57b59d87036,"Which of the following cry is characterized by loud, high pitched and siren-like wail:",Obstinate cry.,Frighten cry.,Hurt cry.,Compensatory cry.,A,single,,Dental,
f7440f57-de36-4bf3-9fd7-f2b6048a472a,Glucocorticoids decrease inflammatory reaction by reducing:,Activity of histamine,Release of histamine,Fibroblastic activity,Neutrophils,B,single,,Physiology,
dba5fe86-0faa-4037-bc20-e6b88972370d,"After amalgam polishing, the outermost surface has crystals arranged flattened to tooth surface. This layer is known as",Beilby layer,Beillyl layer,Beibyl Layer,none of the above,A,multi,,Dental,
c2ab77ef-9fba-47cd-9f6e-cd4e2404f3f0,"While drilling an implant, bone necrosis occurs at what temperatures:",65,35,45,55,C,single,,Dental,
45d2b684-c55a-400b-ab09-76ee3a9ba64b,Extraction of disto-angular impaction of mandibular 3rd molar can cause:,Slippage in lingual pouch,# of ramus of mandible,Excessive Haemorrhage,Dry socket,B,single,,Surgery,
888d0ff6-14ae-4f05-af6b-8e7060ba016f,Which of the following hormones is controlled by feedforward control?,ADH,Insulin,Coicosteroids,Prolactin,A,single,"Ans. A. ADHOsmolarity and volume status are the two greatest factors that affect ADH secretion.However, a variety of other factors promote ADH secretion as well.These include angiotensin II, pain, nausea, hypoglycemia, nicotine, opiates, and ceain medications.ADH secretion is also negatively affected by ethanol, alpha-adrenergic agonists, and atrial natriuretic peptide.Ethanol's inhibitory effect helps to explain the increased diuresis experienced during intoxicated states as well as increased free water loss; without appropriate ADH secretion, more water is excreted by the kidneys.",Physiology,
c31b85f2-e3c3-4122-a330-2d5452dfb836,Counter bevel in tooth should not be given in,Facial surface of premolar,Occlusal surface of premolar,Lingual surface of premolar,Any surface of premolar,A,single,Direct lines: “A counter bevel is not placed on the facial cusps of maxillary premolars and first molars due to esthetic considerations”.,Dental,
fbeaf59e-0828-4af8-8b1b-024f50e88857,Which of the following movement(s) is /are involved in the opening of the mouth?,Only hinge (rotation),Only translation,Hinge followed by translation,Translation followed by hinge,C,single,,Dental,
8a82f9e4-b38f-43f6-9d8d-4ef8a6a4bcbf,"40-year male patient who was a known smoker presents in AIIMS OPD with fever, latigue, jaundice, yellow colored urine with clay colored stools. For the past few days he had developed aversion to cigarette smoking. On examination scleral icterus was present. LFT are:Total Bill18.5Direct Bill7.5SGOT723SGPT812What investigations will you send for ruling out acute viral hepatitis?","HBsAg, IgM antiHBC, AntiHCV AntiHEV","AntiHAV, HBsAg, IgM antiHBc, AntiHCV","HBsAg, IgM antiHBC,AntiHDV AntiHCV AntiHEV","AntiHAV IgMantiHBC, AntiHCV, AntiHEV.",B,single,"Ans: B. AntiHAV, HBsAg, IgM antiHBc, AntiHCVRef: Harrison, I8't' ed., pg. 328, 2549-2552, 2550t, 2551tHB- sAgIgM Anti- HAVIgM Anti- HBcAnti-HCVDiagnostic Interpretation+ + Acute hepatitis B Chronic hepatitis B++ Acute hepatitis A superim? posed on chronic hepatitis B+++ Acute hepatitis A and B--+ Acute hepatitis A--++ Acute hepatitis A and B (HBsAg below detection threshold) + Acute hepatitis B (HBsAg below detection threshold) Acute hepatitis C",Medicine,
