,index,questionID,originalQuestionID,answerKey,examName,question,stem,A,B,C,D,full_question,full_question_test,res_finetuned
0,0,Mercury_SC_410619,410619,C,Mercury,"In 1921, Earl Dickson invented a bandage after he noticed his wife was unable to easily cover cuts on her hands. He covered the bandage with a chemical that sealed it so air would not enter the cut. How did solving this problem benefit others medically? (A) People relied on bandages more than doctors. (B) The bandages cured cuts that were infected. (C) The bandages helped keep cuts clean. (D) People cut themselves less often.","In 1921, Earl Dickson invented a bandage after he noticed his wife was unable to easily cover cuts on her hands. He covered the bandage with a chemical that sealed it so air would not enter the cut. How did solving this problem benefit others medically? ", People relied on bandages more than doctors. , The bandages cured cuts that were infected. , The bandages helped keep cuts clean. , People cut themselves less often.,,"Question: In 1921, Earl Dickson invented a bandage after he noticed his wife was unable to easily cover cuts on her hands. He covered the bandage with a chemical that sealed it so air would not enter the cut. How did solving this problem benefit others medically?  (A)  People relied on bandages more than doctors.  (B)  The bandages cured cuts that were infected.  (C)  The bandages helped keep cuts clean.  (D)  People cut themselves less often.. The correct answer is  "," (C)  The bandages helped keep cuts clean.  Earl Dickson's invention of a bandage that sealed air out helped keep cuts clean and prevented infection. This was a significant medical benefit because infections were a common complication of cuts and wounds. By keeping cuts clean, the risk of infection was reduced, and the healing process was accelerated. This invention helped to improve the medical care of people with cuts and wounds, and it is still used today in many medical settings."
1,1,NYSEDREGENTS_2015_4_15,15,C,NYSEDREGENTS,Volume and mass are properties of (A) friction (B) light (C) matter (D) sound,Volume and mass are properties of , friction , light , matter , sound,,Question: Volume and mass are properties of  (A)  friction  (B)  light  (C)  matter  (D)  sound. The correct answer is  ," (C)  matter.
Volume and mass are properties of matter, which is the substance that makes up an object or system. Friction is a force that opposes motion between two surfaces in contact, and light is a form of electromagnetic radiation. Sound is a form of energy that is produced by vibrations in a medium, such as air or water.
So, the answer is (C) matter."
2,2,Mercury_7032480,7032480,A,Mercury,"When a person's arm touches something hot, the muscles in the arm react to pull the arm away. Which body system alerts the muscles to react? (A) Nervous (B) Digestive (C) Circulatory (D) Respiratory","When a person's arm touches something hot, the muscles in the arm react to pull the arm away. Which body system alerts the muscles to react? ", Nervous , Digestive , Circulatory , Respiratory,,"Question: When a person's arm touches something hot, the muscles in the arm react to pull the arm away. Which body system alerts the muscles to react?  (A)  Nervous  (B)  Digestive  (C)  Circulatory  (D)  Respiratory. The correct answer is  "," (A)  Nervous.

Answer: When a person's arm touches something hot, the muscles in the arm react to pull the arm away. This is an example of a reflexive response, which is a rapid and automatic response to a stimulus without conscious thought. The nervous system is responsible for alerting the muscles to react, so the correct answer is (A) Nervous."
3,3,TAKS_2009_8_11,11,A,TAKS,"When a butterfly emerges from its chrysalis, its wings are crumpled. In order to expand its wings, the butterfly hangs upside down, causing fluid to be pumped into the veins of its wings. This pumping most likely expands the wings by (A) increasing the pressure inside the wings (B) decreasing the density of the wings (C) increasing the temperature inside the wings (D) decreasing the mass of the wings","When a butterfly emerges from its chrysalis, its wings are crumpled. In order to expand its wings, the butterfly hangs upside down, causing fluid to be pumped into the veins of its wings. This pumping most likely expands the wings by ", increasing the pressure inside the wings , decreasing the density of the wings , increasing the temperature inside the wings , decreasing the mass of the wings,,"Question: When a butterfly emerges from its chrysalis, its wings are crumpled. In order to expand its wings, the butterfly hangs upside down, causing fluid to be pumped into the veins of its wings. This pumping most likely expands the wings by  (A)  increasing the pressure inside the wings  (B)  decreasing the density of the wings  (C)  increasing the temperature inside the wings  (D)  decreasing the mass of the wings. The correct answer is  "," (A) increasing the pressure inside the wings.

Answer: When a butterfly emerges from its chrysalis, its wings are crumpled. In order to expand its wings, the butterfly hangs upside down, causing fluid to be pumped into the veins of its wings. This pumping most likely expands the wings by increasing the pressure inside the wings.

Explanation:
The correct answer is (A) increasing the pressure inside the wings. When a butterfly hangs upside down, the fluid inside its veins is forced into the wings, causing them to expand. This is because the pressure inside the wings is increased, which pushes the fluid outward and expands the wings.
Option (B) is incorrect because the density of the wings does not change during this process. The density of the wings is determined by their composition and structure, and it does not change significantly during the expansion process.
Option (C) is also incorrect because the temperature inside the wings does not play a significant role in the expansion process. The temperature of the wings may change slightly during the process, but it is not the primary factor in expanding the wings.
Option (D) is incorrect because the mass of the wings does not change during the expansion process. The mass of the wings is determined by their size and composition, and it does not change significantly during the expansion process.
In summary, the correct answer is (A) increasing the pressure inside the wings, as this is the most likely explanation for how a butterfly expands its wings after emerging from its chrysalis."
4,4,Mercury_183925,183925,D,Mercury,Why do trees like oaks and walnuts depend upon squirrels? (A) to control population size (B) to pollinate their flowers (C) to remove dead wood (D) to aid in seed distribution,Why do trees like oaks and walnuts depend upon squirrels? , to control population size , to pollinate their flowers , to remove dead wood , to aid in seed distribution,,Question: Why do trees like oaks and walnuts depend upon squirrels?  (A)  to control population size  (B)  to pollinate their flowers  (C)  to remove dead wood  (D)  to aid in seed distribution. The correct answer is  ," (B)  to pollinate their flowers.

Answer: Trees like oaks and walnuts depend on squirrels to pollinate their flowers. Squirrels help to transfer pollen from one tree to another, allowing the trees to reproduce. Without the help of squirrels, these trees would have a harder time reproducing and their populations would likely decline."
5,5,Mercury_412298,412298,D,Mercury,"Increased human populations can lead to the depletion of locally available resources within communities. Compared to other communities, which of these locally available resources is most likely to be depleted in desert communities? (A) mineral (B) oxygen (C) gasoline (D) water","Increased human populations can lead to the depletion of locally available resources within communities. Compared to other communities, which of these locally available resources is most likely to be depleted in desert communities? ", mineral , oxygen , gasoline , water,,"Question: Increased human populations can lead to the depletion of locally available resources within communities. Compared to other communities, which of these locally available resources is most likely to be depleted in desert communities?  (A)  mineral  (B)  oxygen  (C)  gasoline  (D)  water. The correct answer is  "," (D) water.
Explanation:
In desert communities, water is the most likely resource to be depleted due to the arid climate. Deserts are characterized by low rainfall and high evaporation rates, which can lead to a scarcity of water. As the population of the community grows, the demand for water increases, leading to depletion of the available water resources. In contrast, minerals, oxygen, and gasoline are not typically found in limited quantities in desert communities, as they are not specific to the region. Therefore, option (D) water is the most likely choice."
6,6,MDSA_2008_8_24,24,C,Maryland School Assessment,"Use the information to answer the question. Over the last 150 years, the use of fossil fuels has increased, resulting in more carbon dioxide and other greenhouse gases in the atmosphere. Some scientists think that these atmospheric gases will result in global warming. Scientists have recorded data on global temperature changes and have predicted possible changes in sea level that may affect Maryland residents. Which action helps reduce global warming? (A) developing highways (B) driving large vehicles (C) using renewable power sources (D) using electricity from coal burning power plants","Use the information to answer the question. Over the last 150 years, the use of fossil fuels has increased, resulting in more carbon dioxide and other greenhouse gases in the atmosphere. Some scientists think that these atmospheric gases will result in global warming. Scientists have recorded data on global temperature changes and have predicted possible changes in sea level that may affect Maryland residents. Which action helps reduce global warming? ", developing highways , driving large vehicles , using renewable power sources , using electricity from coal burning power plants,,"Question: Use the information to answer the question. Over the last 150 years, the use of fossil fuels has increased, resulting in more carbon dioxide and other greenhouse gases in the atmosphere. Some scientists think that these atmospheric gases will result in global warming. Scientists have recorded data on global temperature changes and have predicted possible changes in sea level that may affect Maryland residents. Which action helps reduce global warming?  (A)  developing highways  (B)  driving large vehicles  (C)  using renewable power sources  (D)  using electricity from coal burning power plants. The correct answer is  "," (C)  using renewable power sources.  Renewable power sources, such as wind and solar power, produce little or no greenhouse gas emissions and can help reduce the amount of carbon dioxide and other greenhouse gases in the atmosphere. In contrast, developing highways (A), driving large vehicles (B), and using electricity from coal burning power plants (D) all contribute to increased greenhouse gas emissions and may exacerbate global warming."
7,7,MCAS_8_2015_4,4,A,MCAS,The freezing point of nitrous oxide is -91°C. Which of the following statements best describes the effect on the particles in liquid nitrous oxide as its temperature is lowered to -91°C? (A) The speed of the particles decreases. (B) The particles begin to move in a straight line. (C) The particles begin to move with a greater force. (D) The motion of the particles becomes more random.,The freezing point of nitrous oxide is -91°C. Which of the following statements best describes the effect on the particles in liquid nitrous oxide as its temperature is lowered to -91°C? , The speed of the particles decreases. , The particles begin to move in a straight line. , The particles begin to move with a greater force. , The motion of the particles becomes more random.,,Question: The freezing point of nitrous oxide is -91°C. Which of the following statements best describes the effect on the particles in liquid nitrous oxide as its temperature is lowered to -91°C?  (A)  The speed of the particles decreases.  (B)  The particles begin to move in a straight line.  (C)  The particles begin to move with a greater force.  (D)  The motion of the particles becomes more random.. The correct answer is  ," (D)  The motion of the particles becomes more random. As the temperature of a liquid is lowered, the motion of the particles becomes more random. This is because the particles have less kinetic energy, which means they have less momentum and are less able to maintain a consistent direction or speed. At -91°C, the particles in liquid nitrous oxide are moving randomly, which means they are not following any particular direction or pattern."
8,8,Mercury_SC_408425,408425,B,Mercury,"The human body is made up of several systems. The mouth, esophagus, and stomach are all parts of which system? (A) circulatory (B) digestive (C) nervous (D) skeletal","The human body is made up of several systems. The mouth, esophagus, and stomach are all parts of which system? ", circulatory , digestive , nervous , skeletal,,"Question: The human body is made up of several systems. The mouth, esophagus, and stomach are all parts of which system?  (A)  circulatory  (B)  digestive  (C)  nervous  (D)  skeletal. The correct answer is  ", (B)  digestive.
9,9,ACTAAP_2008_7_16,16,A,ACTAAP,Which energy source might involve burning wood or producing gasohol? (A) biomass (B) wind turbine (C) nuclear fission (D) hydroelectric power,Which energy source might involve burning wood or producing gasohol? , biomass , wind turbine , nuclear fission , hydroelectric power,,Question: Which energy source might involve burning wood or producing gasohol?  (A)  biomass  (B)  wind turbine  (C)  nuclear fission  (D)  hydroelectric power. The correct answer is  ," (A) biomass.

Answer: The correct answer is (A) biomass. Biomass is a type of energy source that involves burning wood or producing gasohol, which is a fuel made from fermented plant material. Biomass can also include other organic materials such as agricultural waste, municipal waste, and even sewage. Biomass is a renewable energy source because the organic matter can be replenished naturally over time."
10,10,MCAS_2009_5_6512,6512,C,MCAS,A student sorted mineral samples into two groups: dull and shiny. Which of the following properties did the student use to sort the mineral samples into groups? (A) cleavage (B) color (C) luster (D) streak,A student sorted mineral samples into two groups: dull and shiny. Which of the following properties did the student use to sort the mineral samples into groups? , cleavage , color , luster , streak,,Question: A student sorted mineral samples into two groups: dull and shiny. Which of the following properties did the student use to sort the mineral samples into groups?  (A)  cleavage  (B)  color  (C)  luster  (D)  streak. The correct answer is  ," (C)  luster. Luster refers to the way light reflects off the surface of a mineral, with more shiny minerals reflecting more light than dull minerals."
