,index,questionID,originalQuestionID,answerKey,examName,question,stem,A,B,C,D,full_question,full_question_test,res_finetuned
0,0,Mercury_SC_410619,410619,C,Mercury,"In 1921, Earl Dickson invented a bandage after he noticed his wife was unable to easily cover cuts on her hands. He covered the bandage with a chemical that sealed it so air would not enter the cut. How did solving this problem benefit others medically? (A) People relied on bandages more than doctors. (B) The bandages cured cuts that were infected. (C) The bandages helped keep cuts clean. (D) People cut themselves less often.","In 1921, Earl Dickson invented a bandage after he noticed his wife was unable to easily cover cuts on her hands. He covered the bandage with a chemical that sealed it so air would not enter the cut. How did solving this problem benefit others medically? ", People relied on bandages more than doctors. , The bandages cured cuts that were infected. , The bandages helped keep cuts clean. , People cut themselves less often.,,"### In 1921, Earl Dickson invented a bandage after he noticed his wife was unable to easily cover cuts on her hands. He covered the bandage with a chemical that sealed it so air would not enter the cut. How did solving this problem benefit others medically?  (A)  People relied on bandages more than doctors.  (B)  The bandages cured cuts that were infected.  (C)  The bandages helped keep cuts clean.  (D)  People cut themselves less often. 
 ### ","
"
1,1,NYSEDREGENTS_2015_4_15,15,C,NYSEDREGENTS,Volume and mass are properties of (A) friction (B) light (C) matter (D) sound,Volume and mass are properties of , friction , light , matter , sound,,"### Volume and mass are properties of  (A)  friction  (B)  light  (C)  matter  (D)  sound 
 ### ","4. light 

 ### 4. light 

 ### 4. light 

 ### 4. light 

 ### 4. light 

 ### 4. light 


 ### 4. light 


 ### 4. light 
"
2,2,Mercury_7032480,7032480,A,Mercury,"When a person's arm touches something hot, the muscles in the arm react to pull the arm away. Which body system alerts the muscles to react? (A) Nervous (B) Digestive (C) Circulatory (D) Respiratory","When a person's arm touches something hot, the muscles in the arm react to pull the arm away. Which body system alerts the muscles to react? ", Nervous , Digestive , Circulatory , Respiratory,,"### When a person's arm touches something hot, the muscles in the arm react to pull the arm away. Which body system alerts the muscles to react?  (A)  Nervous  (B)  Digestive  (C)  Circulatory  (D)  Respiratory 
 ### ","Digestive 

 ### (B)  Digestive 

 ### (B)  Digestive "
3,3,TAKS_2009_8_11,11,A,TAKS,"When a butterfly emerges from its chrysalis, its wings are crumpled. In order to expand its wings, the butterfly hangs upside down, causing fluid to be pumped into the veins of its wings. This pumping most likely expands the wings by (A) increasing the pressure inside the wings (B) decreasing the density of the wings (C) increasing the temperature inside the wings (D) decreasing the mass of the wings","When a butterfly emerges from its chrysalis, its wings are crumpled. In order to expand its wings, the butterfly hangs upside down, causing fluid to be pumped into the veins of its wings. This pumping most likely expands the wings by ", increasing the pressure inside the wings , decreasing the density of the wings , increasing the temperature inside the wings , decreasing the mass of the wings,,"### When a butterfly emerges from its chrysalis, its wings are crumpled. In order to expand its wings, the butterfly hangs upside down, causing fluid to be pumped into the veins of its wings. This pumping most likely expands the wings by  (A)  increasing the pressure inside the wings  (B)  decreasing the density of the wings  (C)  increasing the temperature inside the wings  (D)  decreasing the mass of the wings 
 ### ",4
4,4,Mercury_183925,183925,D,Mercury,Why do trees like oaks and walnuts depend upon squirrels? (A) to control population size (B) to pollinate their flowers (C) to remove dead wood (D) to aid in seed distribution,Why do trees like oaks and walnuts depend upon squirrels? , to control population size , to pollinate their flowers , to remove dead wood , to aid in seed distribution,,"### Why do trees like oaks and walnuts depend upon squirrels?  (A)  to control population size  (B)  to pollinate their flowers  (C)  to remove dead wood  (D)  to aid in seed distribution 
 ### ","
 ### (A)  to control population size 
 ### (B)  to pollinate their flowers 
 ### (B)  to pollinate their flowers 
"
5,5,Mercury_412298,412298,D,Mercury,"Increased human populations can lead to the depletion of locally available resources within communities. Compared to other communities, which of these locally available resources is most likely to be depleted in desert communities? (A) mineral (B) oxygen (C) gasoline (D) water","Increased human populations can lead to the depletion of locally available resources within communities. Compared to other communities, which of these locally available resources is most likely to be depleted in desert communities? ", mineral , oxygen , gasoline , water,,"### Increased human populations can lead to the depletion of locally available resources within communities. Compared to other communities, which of these locally available resources is most likely to be depleted in desert communities?  (A)  mineral  (B)  oxygen  (C)  gasoline  (D)  water 
 ### ","
 ### (B)  oxygen 

 ### (B)  oxygen 

 ### (B"
6,6,MDSA_2008_8_24,24,C,Maryland School Assessment,"Use the information to answer the question. Over the last 150 years, the use of fossil fuels has increased, resulting in more carbon dioxide and other greenhouse gases in the atmosphere. Some scientists think that these atmospheric gases will result in global warming. Scientists have recorded data on global temperature changes and have predicted possible changes in sea level that may affect Maryland residents. Which action helps reduce global warming? (A) developing highways (B) driving large vehicles (C) using renewable power sources (D) using electricity from coal burning power plants","Use the information to answer the question. Over the last 150 years, the use of fossil fuels has increased, resulting in more carbon dioxide and other greenhouse gases in the atmosphere. Some scientists think that these atmospheric gases will result in global warming. Scientists have recorded data on global temperature changes and have predicted possible changes in sea level that may affect Maryland residents. Which action helps reduce global warming? ", developing highways , driving large vehicles , using renewable power sources , using electricity from coal burning power plants,,"### Use the information to answer the question. Over the last 150 years, the use of fossil fuels has increased, resulting in more carbon dioxide and other greenhouse gases in the atmosphere. Some scientists think that these atmospheric gases will result in global warming. Scientists have recorded data on global temperature changes and have predicted possible changes in sea level that may affect Maryland residents. Which action helps reduce global warming?  (A)  developing highways  (B)  driving large vehicles  (C)  using renewable power sources  (D)  using electricity from coal burning power plants 
 ### ", (
7,7,MCAS_8_2015_4,4,A,MCAS,The freezing point of nitrous oxide is -91°C. Which of the following statements best describes the effect on the particles in liquid nitrous oxide as its temperature is lowered to -91°C? (A) The speed of the particles decreases. (B) The particles begin to move in a straight line. (C) The particles begin to move with a greater force. (D) The motion of the particles becomes more random.,The freezing point of nitrous oxide is -91°C. Which of the following statements best describes the effect on the particles in liquid nitrous oxide as its temperature is lowered to -91°C? , The speed of the particles decreases. , The particles begin to move in a straight line. , The particles begin to move with a greater force. , The motion of the particles becomes more random.,,"### The freezing point of nitrous oxide is -91°C. Which of the following statements best describes the effect on the particles in liquid nitrous oxide as its temperature is lowered to -91°C?  (A)  The speed of the particles decreases.  (B)  The particles begin to move in a straight line.  (C)  The particles begin to move with a greater force.  (D)  The motion of the particles becomes more random. 
 ### ", (
8,8,Mercury_SC_408425,408425,B,Mercury,"The human body is made up of several systems. The mouth, esophagus, and stomach are all parts of which system? (A) circulatory (B) digestive (C) nervous (D) skeletal","The human body is made up of several systems. The mouth, esophagus, and stomach are all parts of which system? ", circulatory , digestive , nervous , skeletal,,"### The human body is made up of several systems. The mouth, esophagus, and stomach are all parts of which system?  (A)  circulatory  (B)  digestive  (C)  nervous  (D)  skeletal 
 ### ","4. skeletal 

 ### 4. skeletal 

 ### 4. skeletal 



 ### 4. ske"
9,9,ACTAAP_2008_7_16,16,A,ACTAAP,Which energy source might involve burning wood or producing gasohol? (A) biomass (B) wind turbine (C) nuclear fission (D) hydroelectric power,Which energy source might involve burning wood or producing gasohol? , biomass , wind turbine , nuclear fission , hydroelectric power,,"### Which energy source might involve burning wood or producing gasohol?  (A)  biomass  (B)  wind turbine  (C)  nuclear fission  (D)  hydroelectric power 
 ### ","4. hydroelectric power 

 ### 4. hydroelectric power 

 ### 4. hydroelectric power 

 ### 4. hydroelectric power 

 ### 4. hydroelect"
10,10,MCAS_2009_5_6512,6512,C,MCAS,A student sorted mineral samples into two groups: dull and shiny. Which of the following properties did the student use to sort the mineral samples into groups? (A) cleavage (B) color (C) luster (D) streak,A student sorted mineral samples into two groups: dull and shiny. Which of the following properties did the student use to sort the mineral samples into groups? , cleavage , color , luster , streak,,"### A student sorted mineral samples into two groups: dull and shiny. Which of the following properties did the student use to sort the mineral samples into groups?  (A)  cleavage  (B)  color  (C)  luster  (D)  streak 
 ### "," (B)  color 

 ### (B)  color 

 ### (B)  color 

 ### (B)  color"
11,11,Mercury_405595,405595,B,Mercury,"Which of the following lists units of length from smallest to largest? (A) light-year, astronomical unit, kilometer, angstrom (B) angstrom, kilometer, astronomical unit, light-year (C) astronomical unit, angstrom, kilometer, light-year (D) kilometer, angstrom, light-year, astronomical unit",Which of the following lists units of length from smallest to largest? ," light-year, astronomical unit, kilometer, angstrom "," angstrom, kilometer, astronomical unit, light-year "," astronomical unit, angstrom, kilometer, light-year "," kilometer, angstrom, light-year, astronomical unit",,"### Which of the following lists units of length from smallest to largest?  (A)  light-year, astronomical unit, kilometer, angstrom  (B)  angstrom, kilometer, astronomical unit, light-year  (C)  astronomical unit, angstrom, kilometer, light-year  (D)  kilometer, angstrom, light-year, astronomical unit 
 ### ","








"
12,12,AKDE&ED_2012_4_29,29,A,Alaska Dept. of Education & Early Development,Which statement describes a property of water that most likely causes large rocks to break apart? (A) Water expands when it freezes. (B) Water forms droplets as it falls. (C) Water turns into a gas when it boils. (D) Water takes the shape of its container.,Which statement describes a property of water that most likely causes large rocks to break apart? , Water expands when it freezes. , Water forms droplets as it falls. , Water turns into a gas when it boils. , Water takes the shape of its container.,,"### Which statement describes a property of water that most likely causes large rocks to break apart?  (A)  Water expands when it freezes.  (B)  Water forms droplets as it falls.  (C)  Water turns into a gas when it boils.  (D)  Water takes the shape of its container. 
 ### "," (D)  Water takes the shape of its container. 

 ### (D)  Water takes"
13,13,Mercury_182368,182368,A,Mercury,Which of the following structures enables fish to remain at a certain depth without expending energy through swimming? (A) swim bladder (B) lateral line (C) dorsal fin (D) gill slits,Which of the following structures enables fish to remain at a certain depth without expending energy through swimming? , swim bladder , lateral line , dorsal fin , gill slits,,"### Which of the following structures enables fish to remain at a certain depth without expending energy through swimming?  (A)  swim bladder  (B)  lateral line  (C)  dorsal fin  (D)  gill slits 
 ### ","3.  gill slits 

 ### 3.  gill slits 


 ### 3.  gill slits 



"
14,14,MCAS_2000_4_21,21,C,MCAS,"If your hands are cold, you can warm them by rubbing them together. The heat energy that you produce is caused by (A) insulation. (B) magnetism. (C) friction. (D) conduction.","If your hands are cold, you can warm them by rubbing them together. The heat energy that you produce is caused by ", insulation. , magnetism. , friction. , conduction.,,"### If your hands are cold, you can warm them by rubbing them together. The heat energy that you produce is caused by  (A)  insulation.  (B)  magnetism.  (C)  friction.  (D)  conduction. 
 ### "," (B)  magnetism. 

 ### (B)  magnetism. 


 ### (B)  magnetism. 



 ### ("
15,15,Mercury_7043680,7043680,B,Mercury,Astronomers have been studying objects that are very bright and appear to be very far away. They have since concluded that these objects are distant galaxies with giant black holes at their center known as (A) pulsars. (B) quasars. (C) supernovas. (D) binary stars.,Astronomers have been studying objects that are very bright and appear to be very far away. They have since concluded that these objects are distant galaxies with giant black holes at their center known as , pulsars. , quasars. , supernovas. , binary stars.,,"### Astronomers have been studying objects that are very bright and appear to be very far away. They have since concluded that these objects are distant galaxies with giant black holes at their center known as  (A)  pulsars.  (B)  quasars.  (C)  supernovas.  (D)  binary stars. 
 ### ","2. quasars. 

 ### (D)  binary stars. 

 ### ("
16,16,Mercury_7093013,7093013,D,Mercury,Plant leaves have tiny pores. These pores help plants release water from their tissues into the (A) lithosphere. (B) biosphere. (C) hydrosphere. (D) atmosphere.,Plant leaves have tiny pores. These pores help plants release water from their tissues into the , lithosphere. , biosphere. , hydrosphere. , atmosphere.,,"### Plant leaves have tiny pores. These pores help plants release water from their tissues into the  (A)  lithosphere.  (B)  biosphere.  (C)  hydrosphere.  (D)  atmosphere. 
 ### ","4. 

 ### (D)  atmosphere. 

 ### (D)  atmosphere. 

 ### (D)  atmosphere. 



 ### ("
17,17,Mercury_7205573,7205573,C,Mercury,All of the planets in the solar system formed at about the same time from a large cloud of gas and dust. How is Earth different from other planets in the solar system? (A) Earth has no natural satellites. (B) Earth's atmosphere is composed of gases. (C) Water is found in all three phases on Earth. (D) Volcanoes release liquid rock onto Earth's surface.,All of the planets in the solar system formed at about the same time from a large cloud of gas and dust. How is Earth different from other planets in the solar system? , Earth has no natural satellites. , Earth's atmosphere is composed of gases. , Water is found in all three phases on Earth. , Volcanoes release liquid rock onto Earth's surface.,,"### All of the planets in the solar system formed at about the same time from a large cloud of gas and dust. How is Earth different from other planets in the solar system?  (A)  Earth has no natural satellites.  (B)  Earth's atmosphere is composed of gases.  (C)  Water is found in all three phases on Earth.  (D)  Volcanoes release liquid rock onto Earth's surface. 
 ### ", (
18,18,TIMSS_1995_8_J8,J8,B,TIMSS,Which gas could cause a glowing splint to burst into flame? (A) Neon (B) Oxygen (C) Nitrogen (D) Carbon dioxide,Which gas could cause a glowing splint to burst into flame? , Neon , Oxygen , Nitrogen , Carbon dioxide,,"### Which gas could cause a glowing splint to burst into flame?  (A)  Neon  (B)  Oxygen  (C)  Nitrogen  (D)  Carbon dioxide 
 ### "," (C)  Nitrogen 
 ### (C)  Nitrogen 
 ### (C)  Nitrogen 
 ### (C)  Nitrogen 
 ### ("
