,index,questionID,originalQuestionID,answerKey,examName,question,stem,A,B,C,D,full_question,full_question_test,res_finetuned
0,0,Mercury_SC_410619,410619,C,Mercury,"In 1921, Earl Dickson invented a bandage after he noticed his wife was unable to easily cover cuts on her hands. He covered the bandage with a chemical that sealed it so air would not enter the cut. How did solving this problem benefit others medically? (A) People relied on bandages more than doctors. (B) The bandages cured cuts that were infected. (C) The bandages helped keep cuts clean. (D) People cut themselves less often.","In 1921, Earl Dickson invented a bandage after he noticed his wife was unable to easily cover cuts on her hands. He covered the bandage with a chemical that sealed it so air would not enter the cut. How did solving this problem benefit others medically? ", People relied on bandages more than doctors. , The bandages cured cuts that were infected. , The bandages helped keep cuts clean. , People cut themselves less often.,,"Question: In 1921, Earl Dickson invented a bandage after he noticed his wife was unable to easily cover cuts on her hands. He covered the bandage with a chemical that sealed it so air would not enter the cut. How did solving this problem benefit others medically?  (A)  People relied on bandages more than doctors.  (B)  The bandages cured cuts that were infected.  (C)  The bandages helped keep cuts clean.  (D)  People cut themselves less often.. The correct answer is   ", (
1,1,NYSEDREGENTS_2015_4_15,15,C,NYSEDREGENTS,Volume and mass are properties of (A) friction (B) light (C) matter (D) sound,Volume and mass are properties of , friction , light , matter , sound,,Question: Volume and mass are properties of  (A)  friction  (B)  light  (C)  matter  (D)  sound. The correct answer is   ,"
(C)  matter 
 ### (C)  matter 
 ### (C)  matter 
 ### (C)  matter 
 ### (C)  matter 
 ### (C)  matter 
 ### (C)  matter 
 ### (C)"
2,2,Mercury_7032480,7032480,A,Mercury,"When a person's arm touches something hot, the muscles in the arm react to pull the arm away. Which body system alerts the muscles to react? (A) Nervous (B) Digestive (C) Circulatory (D) Respiratory","When a person's arm touches something hot, the muscles in the arm react to pull the arm away. Which body system alerts the muscles to react? ", Nervous , Digestive , Circulatory , Respiratory,,"Question: When a person's arm touches something hot, the muscles in the arm react to pull the arm away. Which body system alerts the muscles to react?  (A)  Nervous  (B)  Digestive  (C)  Circulatory  (D)  Respiratory. The correct answer is   "," (C)  Circulatory 
 ### (C)  Circulatory 
 ### (C)"
3,3,TAKS_2009_8_11,11,A,TAKS,"When a butterfly emerges from its chrysalis, its wings are crumpled. In order to expand its wings, the butterfly hangs upside down, causing fluid to be pumped into the veins of its wings. This pumping most likely expands the wings by (A) increasing the pressure inside the wings (B) decreasing the density of the wings (C) increasing the temperature inside the wings (D) decreasing the mass of the wings","When a butterfly emerges from its chrysalis, its wings are crumpled. In order to expand its wings, the butterfly hangs upside down, causing fluid to be pumped into the veins of its wings. This pumping most likely expands the wings by ", increasing the pressure inside the wings , decreasing the density of the wings , increasing the temperature inside the wings , decreasing the mass of the wings,,"Question: When a butterfly emerges from its chrysalis, its wings are crumpled. In order to expand its wings, the butterfly hangs upside down, causing fluid to be pumped into the veins of its wings. This pumping most likely expands the wings by  (A)  increasing the pressure inside the wings  (B)  decreasing the density of the wings  (C)  increasing the temperature inside the wings  (D)  decreasing the mass of the wings. The correct answer is   ","
"
4,4,Mercury_183925,183925,D,Mercury,Why do trees like oaks and walnuts depend upon squirrels? (A) to control population size (B) to pollinate their flowers (C) to remove dead wood (D) to aid in seed distribution,Why do trees like oaks and walnuts depend upon squirrels? , to control population size , to pollinate their flowers , to remove dead wood , to aid in seed distribution,,Question: Why do trees like oaks and walnuts depend upon squirrels?  (A)  to control population size  (B)  to pollinate their flowers  (C)  to remove dead wood  (D)  to aid in seed distribution. The correct answer is   ," (D)  to aid in seed distribution. 
 ### (D)  to aid in seed distribution. 
 ### (D)  to aid in seed distribution"
5,5,Mercury_412298,412298,D,Mercury,"Increased human populations can lead to the depletion of locally available resources within communities. Compared to other communities, which of these locally available resources is most likely to be depleted in desert communities? (A) mineral (B) oxygen (C) gasoline (D) water","Increased human populations can lead to the depletion of locally available resources within communities. Compared to other communities, which of these locally available resources is most likely to be depleted in desert communities? ", mineral , oxygen , gasoline , water,,"Question: Increased human populations can lead to the depletion of locally available resources within communities. Compared to other communities, which of these locally available resources is most likely to be depleted in desert communities?  (A)  mineral  (B)  oxygen  (C)  gasoline  (D)  water. The correct answer is   ","
 ### (D)  water. 
 ### (D)  water. 
 ### ("
6,6,MDSA_2008_8_24,24,C,Maryland School Assessment,"Use the information to answer the question. Over the last 150 years, the use of fossil fuels has increased, resulting in more carbon dioxide and other greenhouse gases in the atmosphere. Some scientists think that these atmospheric gases will result in global warming. Scientists have recorded data on global temperature changes and have predicted possible changes in sea level that may affect Maryland residents. Which action helps reduce global warming? (A) developing highways (B) driving large vehicles (C) using renewable power sources (D) using electricity from coal burning power plants","Use the information to answer the question. Over the last 150 years, the use of fossil fuels has increased, resulting in more carbon dioxide and other greenhouse gases in the atmosphere. Some scientists think that these atmospheric gases will result in global warming. Scientists have recorded data on global temperature changes and have predicted possible changes in sea level that may affect Maryland residents. Which action helps reduce global warming? ", developing highways , driving large vehicles , using renewable power sources , using electricity from coal burning power plants,,"Question: Use the information to answer the question. Over the last 150 years, the use of fossil fuels has increased, resulting in more carbon dioxide and other greenhouse gases in the atmosphere. Some scientists think that these atmospheric gases will result in global warming. Scientists have recorded data on global temperature changes and have predicted possible changes in sea level that may affect Maryland residents. Which action helps reduce global warming?  (A)  developing highways  (B)  driving large vehicles  (C)  using renewable power sources  (D)  using electricity from coal burning power plants. The correct answer is   ", (
7,7,MCAS_8_2015_4,4,A,MCAS,The freezing point of nitrous oxide is -91°C. Which of the following statements best describes the effect on the particles in liquid nitrous oxide as its temperature is lowered to -91°C? (A) The speed of the particles decreases. (B) The particles begin to move in a straight line. (C) The particles begin to move with a greater force. (D) The motion of the particles becomes more random.,The freezing point of nitrous oxide is -91°C. Which of the following statements best describes the effect on the particles in liquid nitrous oxide as its temperature is lowered to -91°C? , The speed of the particles decreases. , The particles begin to move in a straight line. , The particles begin to move with a greater force. , The motion of the particles becomes more random.,,Question: The freezing point of nitrous oxide is -91°C. Which of the following statements best describes the effect on the particles in liquid nitrous oxide as its temperature is lowered to -91°C?  (A)  The speed of the particles decreases.  (B)  The particles begin to move in a straight line.  (C)  The particles begin to move with a greater force.  (D)  The motion of the particles becomes more random.. The correct answer is   , (
8,8,Mercury_SC_408425,408425,B,Mercury,"The human body is made up of several systems. The mouth, esophagus, and stomach are all parts of which system? (A) circulatory (B) digestive (C) nervous (D) skeletal","The human body is made up of several systems. The mouth, esophagus, and stomach are all parts of which system? ", circulatory , digestive , nervous , skeletal,,"Question: The human body is made up of several systems. The mouth, esophagus, and stomach are all parts of which system?  (A)  circulatory  (B)  digestive  (C)  nervous  (D)  skeletal. The correct answer is   "," (B)  digestive 
 ### (B)  digestive 
 ### (B)  digestive 
 ### (B"
9,9,ACTAAP_2008_7_16,16,A,ACTAAP,Which energy source might involve burning wood or producing gasohol? (A) biomass (B) wind turbine (C) nuclear fission (D) hydroelectric power,Which energy source might involve burning wood or producing gasohol? , biomass , wind turbine , nuclear fission , hydroelectric power,,Question: Which energy source might involve burning wood or producing gasohol?  (A)  biomass  (B)  wind turbine  (C)  nuclear fission  (D)  hydroelectric power. The correct answer is   ,"
 ### (A)  biomass 
 ### (A)  biomass 
 ### (A)  biomass 
 ### (A)  biomass 
 ### (A)"
