,index,questionID,answerKey,isMultipleChoiceQuestion,question,A,B,C,D,stem,full_question,full_question_test,res_finetuned
0,0,Mercury_SC_401290,C,1,Which is the best piece of equipment to determine the topography of the United States? (A) radar (B) compass (C) satellite (D) radio, radar , compass , satellite , radio,Which is the best piece of equipment to determine the topography of the United States? ,,Question: Which is the best piece of equipment to determine the topography of the United States?  (A)  radar  (B)  compass  (C)  satellite  (D)  radio. The correct answer is ," (C)  satellite.  Satellites are the best equipment to determine the topography of the United States because they can gather data on the surface of the Earth from a distance, using sensors such as radar, lidar, and optical sensors. These sensors can measure the height of the land, the shape of the land, and the location of features such as mountains, valleys, and rivers. Satellites can also provide detailed images of the land surface, which can be used to create detailed maps and to study the changes in the topography of the United States over time."
1,1,AKDE&ED_2008_8_40,C,1,Students will perform an experiment to find out how long it takes 2 g of salt to dissolve in 50 mL of water. Which experimental method will provide the most accurate results? (A) one student taking time measurements for one experiment (B) two students taking time measurements for one experiment (C) one student taking time measurements for three identical experiments (D) three students taking time measurements for two identical experiments, one student taking time measurements for one experiment , two students taking time measurements for one experiment , one student taking time measurements for three identical experiments , three students taking time measurements for two identical experiments,Students will perform an experiment to find out how long it takes 2 g of salt to dissolve in 50 mL of water. Which experimental method will provide the most accurate results? ,,Question: Students will perform an experiment to find out how long it takes 2 g of salt to dissolve in 50 mL of water. Which experimental method will provide the most accurate results?  (A)  one student taking time measurements for one experiment  (B)  two students taking time measurements for one experiment  (C)  one student taking time measurements for three identical experiments  (D)  three students taking time measurements for two identical experiments. The correct answer is ," (C).
Explanation:
The most accurate method for finding out how long it takes 2 g of salt to dissolve in 50 mL of water is to have one student take time measurements for three identical experiments. This is because the variability in the measurement will be minimized by repeating the experiment three times. Each experiment will have the same amount of salt and water, and the student will be able to take the measurements at the same time.
Option (A) is not accurate because one student taking time measurements for one experiment will not provide enough data to accurately determine the time it takes for the salt to dissolve. The student may have variations in their measurement due to factors such as the amount of time they spend measuring, their level of attention, and their hand-eye coordination.
Option (B) is also not accurate because two students taking time measurements for one experiment will not provide enough data to accurately determine the time it takes for the salt to dissolve. The students may have variations in their measurement due to factors such as their level of attention, their hand-eye coordination, and their differences in measurement technique.
Option (D) is also not accurate because three students taking time measurements for two identical experiments will not provide enough data to accurately determine the time it takes for the salt to dissolve. The students may have variations in their measurement due to factors such as their level of attention, their hand-eye coordination, and their differences in measurement technique.
Therefore, the most accurate method for finding out how long it takes 2 g of salt to dissolve in 50 mL of water is to have one student take time measurements for three identical experiments. This will provide the most reliable and accurate data."
2,2,LEAP_2001_8_10379,A,1,"Jo Anne took a large beaker of clean water and carefully added one drop of blue food coloring to the edge of the water's surface. She did not touch or move the beaker. At first, she saw blue streaks as the food coloring sank into the water, but gradually the color of the entire beaker of water became evenly blue. What caused the blue food coloring to be mixed throughout the water? (A) Water molecules hitting the food coloring molecules caused the mixing. (B) Light shining on the surface of the water caused the mixing. (C) A chemical reaction between the water and the food coloring formed a new, light blue compound. (D) The water interacted with the food coloring, causing the blue color to fade.", Water molecules hitting the food coloring molecules caused the mixing. , Light shining on the surface of the water caused the mixing. ," A chemical reaction between the water and the food coloring formed a new, light blue compound. "," The water interacted with the food coloring, causing the blue color to fade.","Jo Anne took a large beaker of clean water and carefully added one drop of blue food coloring to the edge of the water's surface. She did not touch or move the beaker. At first, she saw blue streaks as the food coloring sank into the water, but gradually the color of the entire beaker of water became evenly blue. What caused the blue food coloring to be mixed throughout the water? ",,"Question: Jo Anne took a large beaker of clean water and carefully added one drop of blue food coloring to the edge of the water's surface. She did not touch or move the beaker. At first, she saw blue streaks as the food coloring sank into the water, but gradually the color of the entire beaker of water became evenly blue. What caused the blue food coloring to be mixed throughout the water?  (A)  Water molecules hitting the food coloring molecules caused the mixing.  (B)  Light shining on the surface of the water caused the mixing.  (C)  A chemical reaction between the water and the food coloring formed a new, light blue compound.  (D)  The water interacted with the food coloring, causing the blue color to fade.. The correct answer is "," (C)  A chemical reaction between the water and the food coloring formed a new, light blue compound.  When the blue food coloring was added to the water, a chemical reaction occurred between the water and the food coloring, resulting in the formation of a new, light blue compound. This compound had a different molecular structure than the original food coloring and water, which caused it to mix evenly throughout the water."
3,3,Mercury_7201968,A,1,"Scientists discovered that although infectious bacteria may develop immunity to antibiotic medications, some bacteria are unable to resist certain peptides, which act as natural antibiotic substances inside the human body. This discovery led to the development of which new technology? (A) artificial substances that mimic human peptides (B) antibiotics that can be absorbed through the skin (C) bacteria that attack antibiotic-resistant organisms (D) antibiotics that adapt in response to bacterial immunity", artificial substances that mimic human peptides , antibiotics that can be absorbed through the skin , bacteria that attack antibiotic-resistant organisms , antibiotics that adapt in response to bacterial immunity,"Scientists discovered that although infectious bacteria may develop immunity to antibiotic medications, some bacteria are unable to resist certain peptides, which act as natural antibiotic substances inside the human body. This discovery led to the development of which new technology? ",,"Question: Scientists discovered that although infectious bacteria may develop immunity to antibiotic medications, some bacteria are unable to resist certain peptides, which act as natural antibiotic substances inside the human body. This discovery led to the development of which new technology?  (A)  artificial substances that mimic human peptides  (B)  antibiotics that can be absorbed through the skin  (C)  bacteria that attack antibiotic-resistant organisms  (D)  antibiotics that adapt in response to bacterial immunity. The correct answer is "," (A)  artificial substances that mimic human peptides.
Explanation:  Scientists have discovered that some bacteria are unable to resist certain peptides, which act as natural antibiotic substances inside the human body. In response to this discovery, researchers have developed artificial substances that mimic these human peptides. These artificial peptides can be used to combat antibiotic-resistant bacteria, providing a new technology for fighting infections."
4,4,MDSA_2009_4_1,D,1,A fossilized seashell is found on a mountain. This seashell shows that the mountain was once ___. (A) much hotter (B) much colder (C) above sea level (D) covered by water, much hotter , much colder , above sea level , covered by water,A fossilized seashell is found on a mountain. This seashell shows that the mountain was once ___. ,,Question: A fossilized seashell is found on a mountain. This seashell shows that the mountain was once ___.  (A)  much hotter  (B)  much colder  (C)  above sea level  (D)  covered by water. The correct answer is ," (C) above sea level.
Explanation:
A fossilized seashell found on a mountain indicates that the mountain was once below sea level. This is because seashells typically only form in marine environments, and the process of fossilization occurs when an organism is quickly buried in sediment before it can be washed away or scavenged by other organisms. If the mountain was once below sea level, it would have been submerged in water, which would have made it unlikely for a seashell to form there. Therefore, the correct answer is (C) above sea level."
5,5,Mercury_SC_401324,D,1,What will most likely happen to this food chain if a farmer decides to dust a wheat crop with an insecticide? wheat -> insects -> sparrows -> hawks (A) The grass would become greener. (B) More birds would move into the fields. (C) The hawks would eat more of the grass. (D) There would be fewer sparrows seen in the fields., The grass would become greener. , More birds would move into the fields. , The hawks would eat more of the grass. , There would be fewer sparrows seen in the fields.,What will most likely happen to this food chain if a farmer decides to dust a wheat crop with an insecticide? wheat -> insects -> sparrows -> hawks ,,Question: What will most likely happen to this food chain if a farmer decides to dust a wheat crop with an insecticide? wheat -> insects -> sparrows -> hawks  (A)  The grass would become greener.  (B)  More birds would move into the fields.  (C)  The hawks would eat more of the grass.  (D)  There would be fewer sparrows seen in the fields.. The correct answer is ," (B) More birds would move into the fields.  When a farmer dusts a wheat crop with an insecticide, the insects that are killed will be less available as a food source for the sparrows. This will cause the sparrows to look for alternative food sources, such as the nearby fields, which will attract more birds to the area."
6,6,Mercury_7158935,C,1,"The Steller sea lion population has been decreasing in parts of Alaska. New evidence suggests that Steller sea lions need herring as a part of their diet in order to survive. Pollock, another type of fish, also feed on herring. Which would most likely help the Steller sea lion population to increase? (A) increasing the number of pollock (B) changing the diet of the sea lions (C) improving the habitats of herring (D) changing the location of the sea lions", increasing the number of pollock , changing the diet of the sea lions , improving the habitats of herring , changing the location of the sea lions,"The Steller sea lion population has been decreasing in parts of Alaska. New evidence suggests that Steller sea lions need herring as a part of their diet in order to survive. Pollock, another type of fish, also feed on herring. Which would most likely help the Steller sea lion population to increase? ",,"Question: The Steller sea lion population has been decreasing in parts of Alaska. New evidence suggests that Steller sea lions need herring as a part of their diet in order to survive. Pollock, another type of fish, also feed on herring. Which would most likely help the Steller sea lion population to increase?  (A)  increasing the number of pollock  (B)  changing the diet of the sea lions  (C)  improving the habitats of herring  (D)  changing the location of the sea lions. The correct answer is "," (B) changing the diet of the sea lions.
Explanation:
The evidence suggests that Steller sea lions need herring as a part of their diet in order to survive. If the sea lions were to switch their diet to include more herring, they would be able to survive and potentially thrive in areas where herring are abundant. This would likely lead to an increase in the Steller sea lion population in those areas.
Option (A) increasing the number of pollock would not help the Steller sea lion population increase, as pollock are not a substitute for herring in the sea lions' diet.
Option (C) improving the habitats of herring is not directly related to the Steller sea lion population, as the sea lions are not directly dependent on the quality of the herring habitats.
Option (D) changing the location of the sea lions is not a viable solution for increasing the Steller sea lion population, as sea lions are not known to migrate to new locations in response to changes in their diet."
7,7,Mercury_SC_401373,A,1,Which is an example of electricity flowing in a circuit to produce sound? (A) pushing a button to make a doorbell ring (B) stepping on a mat to make a door open (C) flipping a switch to turn on a light (D) sliding a lever to turn on an electric blanket, pushing a button to make a doorbell ring , stepping on a mat to make a door open , flipping a switch to turn on a light , sliding a lever to turn on an electric blanket,Which is an example of electricity flowing in a circuit to produce sound? ,,Question: Which is an example of electricity flowing in a circuit to produce sound?  (A)  pushing a button to make a doorbell ring  (B)  stepping on a mat to make a door open  (C)  flipping a switch to turn on a light  (D)  sliding a lever to turn on an electric blanket. The correct answer is ," (C) flipping a switch to turn on a light. When you flip a switch, electricity flows through a circuit to a light bulb, causing it to glow and produce sound waves that we perceive as light."
8,8,Mercury_SC_LBS10027,B,1,What is potential energy? (A) The energy an object has due to its motion. (B) The energy an object has due to its position. (C) The energy that increases the mass of an object. (D) The energy that increases the temperature of an object., The energy an object has due to its motion. , The energy an object has due to its position. , The energy that increases the mass of an object. , The energy that increases the temperature of an object.,What is potential energy? ,,Question: What is potential energy?  (A)  The energy an object has due to its motion.  (B)  The energy an object has due to its position.  (C)  The energy that increases the mass of an object.  (D)  The energy that increases the temperature of an object.. The correct answer is ," (B)  The energy an object has due to its position.
Potential energy is the energy an object has due to its position or configuration. It is the energy an object has because of its height, volume, or configuration, and it is typically associated with the forces that act on an object. For example, the potential energy of a ball at the top of a hill is the energy it has due to its height, and it is the energy that is released as the ball rolls down the hill. Similarly, the potential energy of a stretched rubber band is the energy it has due to its stretched configuration, and it is the energy that is released as the rubber band snaps back to its original shape.
The other options are not correct definitions of potential energy:
(A) is not a definition of potential energy, as it refers to the energy an object has due to its motion, rather than its position or configuration.
(C) is not a definition of potential energy, as it refers to the increase in mass of an object, rather than the energy it has due to its position or configuration.
(D) is not a definition of potential energy, as it refers to the increase in temperature of an object, rather than the energy it has due to its position or configuration."
9,9,OHAT_2010_8_35,A,1,Which two plant cell structures are responsible for storing energy from sunlight and later releasing it for cells to use? (A) chloroplast and mitochondrion (B) mitochondrion and cell wall (C) chloroplast and nucleus (D) nucleus and cell wall, chloroplast and mitochondrion , mitochondrion and cell wall , chloroplast and nucleus , nucleus and cell wall,Which two plant cell structures are responsible for storing energy from sunlight and later releasing it for cells to use? ,,Question: Which two plant cell structures are responsible for storing energy from sunlight and later releasing it for cells to use?  (A)  chloroplast and mitochondrion  (B)  mitochondrion and cell wall  (C)  chloroplast and nucleus  (D)  nucleus and cell wall. The correct answer is ," (A)  chloroplast and mitochondrion. Chloroplasts are the organelles found in plant cells that are responsible for photosynthesis, the process of converting light energy from the sun into chemical energy in the form of glucose. Mitochondria are the organelles found in plant cells that are responsible for storing energy in the form of ATP (adenosine triphosphate), which is the energy currency of the cell. During photosynthesis, light energy is absorbed by pigments in the chloroplasts, causing a proton gradient across the thylakoid membrane, which drives the synthesis of ATP in the chloroplasts. The ATP is then transferred to the mitochondria, where it can be used to power cellular processes such as metabolism and growth."
